target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
0.25,1000,650,7470.2485512894355,41.070777119886699,139.18275636640888,1.2509865625063648,60.583653728040908,7651.7530713382412,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,660,7547.2752507703635,41.77437013937697,141.16521877146647,1.2705569379672992,61.215956254421492,7731.4853966191786,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,670,7623.9723385900434,42.479281728324224,143.14439683996486,1.290130811765593,61.846538556524358,7810.8861479700963,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,680,7700.211975516956,43.184750985202569,145.11565251744753,1.3097045268410077,62.484132543888684,7889.8220835464444,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,690,7775.8415518137217,43.889875553812637,147.07682538162265,1.3292849471846508,63.082583951339878,7968.1375376963442,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,700,7851.4681539084459,44.597997607057692,149.04212511861923,1.348859751655942,63.808404273682527,8046.4571363857804,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,710,7926.1740048590782,45.303843365130248,150.99299385659148,1.3684124259604755,64.41588569554547,8123.8392545067554,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,720,8000.6307108910787,46.011192724539562,152.9395116523348,1.3879714659709124,65.014668114014896,8200.9693867339247,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,730,8074.8593484417306,46.720133095482616,154.88032516697203,1.4075384009720386,65.666635946090196,8277.8673451051563,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,740,8148.3264897461131,47.427518394846068,156.81132426716846,1.4270999229169115,66.238316910279266,8353.9924323310424,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
